athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Marcel Schouten,NED,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,26011.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Deegan,AUS,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,26596.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matias Diaz Hernandez,ARG,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,27161.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,27333.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgenij Pop Acev,MKD,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,27459.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,27741.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lars Bottelier,NED,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,27757.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Matte,CAN,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,27939.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,29280.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,07/27/2019,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,13.0,30139.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
