athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30,Unnamed: 41
Evgenij Pop Acev,MKD,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,22624.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damian Blaum,ARG,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,22639.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bertrand Venturi,ITA,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,23149.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Schouten,NED,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,23302.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matheus Emerim Evangelista,BRA,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,23334.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Stochino,ITA,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,23366.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomi Stefanovski,MKD,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,23476.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriele Maria Mento,ITA,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,24375.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandar Ilievski,MKD,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,24766.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleh Mohammad,SYR,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,25067.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aquiles Balaudo,ARG,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,25862.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Pastor,GER,09/04/2016,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,16.0,26213.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
