athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Rachele Bruni,ITA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7198.01,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haley Anderson,USA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7209.81,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabelle Harle,GER,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7211.54,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ana Marcela Cunha,BRA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7211.62,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Olasz,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7213.27,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliana Okimoto Cintra,BRA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7213.58,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumi Kida,JPN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7214.07,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Risztov,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7216.16,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Svenja Zihsler,GER,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7217.11,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Brunemann,USA,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7253.14,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Fabian,ISR,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7260.42,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanna Zachoszcz,POL,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7267.89,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolett Szilagyi,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7326.42,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria Kulik,RUS,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7328.93,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikoletta Kiss,HUN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7343.16,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade Dusablon,CAN,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7379.19,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvie Rybarova,CZE,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7385.57,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justyna Burska,POL,06/18/2016,FINA World Cup,"Balatonfured, HUN",10.0,NW,Neutral,30.0,7430.09,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
