athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Stephanie Horner,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7575.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Brunemann,USA,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7576.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angela Maurer,GER,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7580.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade Dusablon,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7615.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daria Kulik,RUS,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7630.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breanne Emma Joan Siwicki,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7744.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauren Teghtsoonian,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7792.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonie Van Noort,NED,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7836.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria Mock,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7857.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabryna Lavoie,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,7961.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelica Astorga,CRC,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,8624.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Laurence Lortie,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,8846.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anne-Catherine Savaria,CAN,07/28/2016,FINA World Cup,"Roberval, CAN",10.0,NW,Neutral,13.0,9172.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
