athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Martina Grimaldi,ITA,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,24359.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Pozzobon,ITA,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,24587.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Franco,ITA,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,25154.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jade Dusablon,CAN,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,25191.1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilar Geijo,ARG,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,25488.4,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Mankevich,RUS,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,25674.8,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabryna Lavoie,CAN,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,26312.3,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Laurence Lortie,CAN,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,27938.7,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicenia Navarro,VEN,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,28339.7,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gwenaelle Plonquet-Thibault,CAN,07/29/2017,FINA Grand Prix,"Roberval, CAN",32.0,NW,Neutral,12.0,29431.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
