athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Barbara Pozzobon,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,26731.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice Franco,ITA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,26742.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romina Soledad Imwinkelried,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,26754.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilar Geijo,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,28254.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martina Oriozabala,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,29497.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erika Yenssen,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,29503.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandra Frimerman-Bergquist,USA,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,30602.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daira Marin,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,30660.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marie-Laurence Lortie,CAN,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,31079.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rita Vanesa Garcia,ARG,09/07/2019,FINA Grand Prix,"Capri-Napoli, ITA",36.0,NW,Neutral,10.0,31410.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
